topic,lvl,month,pct
Forms and documents,0,may,0.08
Investigative reporting,0,may,0.09
Psychology concepts,0,may,0.13
Sales intelligence,0,may,0.08
Flights,0,may,0.11
Invoicing,0,may,0.26
Real estate search,0,may,0.2
Taxonomy tagging,1,may,0.04
Local business profiles,0,may,0.02
Technical documentation,0,may,0.12
Document formatting,0,may,0.1
Server provisioning,0,may,0.04
Formatted writing,1,may,1.31
Scoring and rating,1,may,0.01
Security operations,0,may,0.04
Screenwriting,0,may,0.13
Sleep environment,0,may,0.03
Privacy law,0,may,0.02
Vehicle ownership,0,may,0.09
Recipe scaling,0,may,0.03
Developmental psychology,0,may,0.02
Fitness equipment,0,may,0.09
Numerical methods,0,may,0
Commit authoring,0,may,0
Occasion messages,0,may,0.16
Buying and selling secondhand,1,may,0.23
Pool and spa,0,may,0.05
Sleep science,0,may,0.01
Clinical Document Processing,0,may,0.04
Containerization,0,may,0.04
Data structures,0,may,0.01
Bilingual drafting,0,may,0.01
Ad and traffic diagnosis,1,may,0.07
Course scheduling,0,may,0.06
Instructional posters,0,may,0.01
Authentication flows,0,may,0.06
Billing disputes,0,may,0.11
Evidentiary documents,0,may,0.02
Media apps,0,may,0.05
PC hardware,0,may,0.14
Algebra,0,may,0.01
Remittance,0,may,0.01
Precious metals,0,may,0.04
Recipe requests,0,may,0.21
Order planning,0,may,0.06
Content QA,0,may,0.02
Structured data,0,may,0
Sleep routines,0,may,0.02
Robotics hardware,0,may,0.01
Regression fixing,0,may,0.03
Document transformation,1,may,0.77
Freelancing,0,may,0.03
Game modding,0,may,0.13
Promotions and warranties,0,may,0.02
Scientific data extraction,0,may,0.01
Parenting,0,may,0.02
Public procurement,0,may,0.01
Business operational finance,0,may,0.46
Safety gear,0,may,0.01
Novel writing,0,may,0.74
Software identification,0,may,0.21
Financial education,0,may,0.44
Coaching and training,0,may,0.08
Web development,0,may,0.51
Reasoning traces,1,may,0
Hydration,0,may,0.02
Subscription value,0,may,0.01
Leadership,0,may,0.02
Document authentication,0,may,0
Skill acquisition,0,may,0.04
Feature specs,0,may,0.21
Marketplace reputation,0,may,0.01
Self-understanding,0,may,0.43
UI and HUD design,0,may,0.04
Verbatim span retrieval,0,may,0.01
Audio engineering,0,may,0.03
Medical law,0,may,0.01
Studying abroad,0,may,0.04
Desktop application debugging,0,may,0.05
Rules and eligibility,0,may,0.29
Consumer electronics,0,may,0.25
Insurance documents,0,may,0.02
Test writing and running,1,may,0.11
Genealogy,0,may,0.06
Research and evidence,1,may,1.31
Essays,0,may,0.4
Grooming,0,may,0.05
Cybersecurity,0,may,0.04
Parts sourcing,0,may,0.06
Life updates,0,may,0.45
Trigonometry,0,may,0.02
Media discovery,1,may,1.23
Sports business,0,may,0.06
Programming education,0,may,0.38
Product landscape,0,may,0.18
Study materials,0,may,1.07
Workplace discrimination,0,may,0.01
Structured data extraction,0,may,0.03
AI ethics and risk,0,may,0.02
AI industry,1,may,0.1
Social media,0,may,0.06
Health policy,0,may,0
Religious and cultural practices,0,may,0.05
Weather,0,may,0.01
Religion and Spirituality,0,may,0.22
Vector databases,0,may,0.02
Epidemiology,0,may,0.02
Garment care,0,may,0.05
Content Creation & Copywriting,2,may,19.99
Retirement information,0,may,0.08
Wood materials,0,may,0.01
Making music,1,may,0.17
Failure diagnosis,0,may,0.1
Data storage,1,may,0.15
Trading signal analysis,0,may,0.05
Cultural etiquette,0,may,0.01
Hotels,0,may,0.13
Project planning,0,may,0.3
Payment integration,0,may,0.05
Post-interview analysis,0,may,0.01
Product comparison,0,may,1.2
Entitlements and rules,1,may,0.65
Cybersecurity & Threat Detection,2,may,0.27
Thermofluids,0,may,0.01
Regex,0,may,0
Voice calls,0,may,0.01
Instructional design,1,may,0.71
Astronomy,0,may,0.01
SQL queries,0,may,0.05
Philosophy,1,may,0.14
Image reading,1,may,0.15
Event business,0,may,0.01
Event tourism,0,may,0.01
Image resizing,0,may,0.01
Data wrangling,1,may,0.01
Family and personal law,0,may,0.02
Travel admin,0,may,0.11
Background removal,0,may,0.02
IT service desk,0,may,0.04
Biology,0,may,0.14
Holidays & Seasonal Observances,0,may,0
Personal logging,0,may,0.25
Application logistics,0,may,0.01
Consumer protection,0,may,0.01
Content strategy,0,may,0.53
Sociology,0,may,0.04
Home routines,1,may,0.11
Masonry,0,may,0.01
Named entity recognition,0,may,0
Job searching,0,may,0.26
Online platforms,1,may,0.07
Configuration architecture,0,may,0.01
Backend architecture,1,may,0.49
Platform navigation,0,may,0.54
DevOps tools,0,may,0.02
Civil liberties,0,may,0
Companionship and conversation,1,may,1.6
Event planning,0,may,0.1
Agent monitoring,0,may,0.05
DevOps & Infrastructure Operations,2,may,2.75
Marketing technology,0,may,0.2
Task completion verification,0,may,0
Parts sourcing,1,may,0.06
Code refactoring,0,may,0.23
Animal behavior,1,may,0.39
Spirituality and metaphysical practices,0,may,0.1
Test authoring,0,may,0.05
Anatomy and materials,0,may,0.04
Renovation planning,0,may,0.07
Implementation planning,0,may,0.16
Programming paradigms,0,may,0.01
Grammar instruction,0,may,0.15
Fluids and lubrication,0,may,0.03
Course deliverables,0,may,0.55
Opinion writing,1,may,0.08
Memory retrieval,1,may,0.01
Payment infrastructure,0,may,0.02
Reference data entries,0,may,0.15
Political science,0,may,0.03
Database administration,0,may,0.03
Dream interpretation,0,may,0.03
API design,0,may,0.02
React,0,may,0.08
Water quality,0,may,0.01
Classical mechanics,0,may,0.05
Career finance,0,may,0.09
Research methodology,0,may,0.12
HVAC,0,may,0.05
Literary analysis,1,may,0.22
Sermons,0,may,0.11
Recruitment document preprocessing,0,may,0.04
Smart lighting,0,may,0.02
Chemical safety,0,may,0.01
CRM activity logging,0,may,0.01
Financial news analysis,0,may,0.03
Engine mechanics,0,may,0.05
Treasury operations,0,may,0
Game prototyping,0,may,0.27
Recovery,0,may,0.04
Home furnishing and decor,1,may,0.46
Empty inputs,0,may,0.19
AI coding assistants,0,may,0.11
Food culture,0,may,0.02
Property and ownership,1,may,0.05
Veterinary medicine,0,may,0.12
API querying,0,may,0.03
Statistics,0,may,0.09
Court appeals,1,may,0.01
Trend monitoring,0,may,0.04
Market microstructure analysis,0,may,0.02
Access control,0,may,0.02
Illustration,0,may,0.11
Labor law,0,may,0.05
Academic faculty careers,0,may,0.04
Harm screening,1,may,0.02
Podcast scripts,0,may,0.06
Backend patching,0,may,0.2
Species identification,0,may,0.1
Activity summarization,1,may,0.01
Brewing,0,may,0.03
Fintech,0,may,0.05
Local business lookup,0,may,0.1
AI tool guidance,0,may,0.01
Ingredient preparation,0,may,0.02
Market research reports,0,may,0.35
Astronomy,1,may,0.01
Early career,0,may,0.02
Watches,0,may,0.06
Visual analysis,0,may,0.13
Exam logistics,0,may,0.04
AI assistant features,0,may,0.03
Earth sciences,0,may,0.01
Email platforms,0,may,0.01
Sightseeing,0,may,0.1
Document platforms,0,may,0.01
Reference and fact-finding,1,may,1.37
Operational coordination,0,may,0.46
Local tradespeople,0,may,0.06
Complex analysis,0,may,0.01
Dashboard instruments,0,may,0.01
Interior design,0,may,0.23
Digital forensics,1,may,0.04
Emotional Wellbeing and Support,0,may,2.88
Business process and operations — other,1,may,0.17
Shell and systems code,1,may,0.49
Alpha factor research,0,may,0.01
Approval workflows,0,may,0.07
Geopolitics,0,may,0.07
3D printing,0,may,0.07
Real-time lookups,1,may,0.32
Retail availability,0,may,0.5
Slide decks,1,may,1.24
Accounting and bookkeeping,1,may,0.59
Print design,0,may,0.14
Headlines,0,may,0.04
Account and billing,1,may,0.57
Personal records,1,may,0.55
Salads and dressings,0,may,0.02
Debt repayment,0,may,0.05
Language and linguistics,1,may,0.26
Personal finance,0,may,0.37
Rights and freedoms,1,may,0.06
Repository setup,0,may,0.02
Budget planning,0,may,0.03
Cross-domain insight synthesis,0,may,0.21
Outdoor and sporting gear,0,may,0.12
Bioinformatics,0,may,0.03
Pest control,0,may,0.06
Repairs,0,may,0.03
Elections,0,may,0.07
Computer science,0,may,0.15
Typography,0,may,0
Vulnerability triage,0,may,0.01
Pitch decks and cover letters,0,may,0.03
Code editors,0,may,0.02
Property operations,0,may,0.06
Relocation and travel,1,may,0.37
Doneness and temperature,0,may,0.04
News aggregation,0,may,0.49
Structured extraction,1,may,1.27
Furniture shopping,0,may,0.11
Deployment,0,may,0.15
Product specifications,0,may,0.28
Optimization,0,may,0.01
Buying and investing,1,may,2.57
"Existential, Relational, and Emotional Support",2,may,4.5
Shell scripting,0,may,0.1
Home safety,0,may,0.01
Forex,0,may,0.01
Debugging,0,may,0.06
Personal messaging,0,may,0.35
Building inspection,0,may,0.01
Marketing intelligence,0,may,0.14
Literary translation,0,may,0.01
Fiction writing,1,may,0.92
Social enterprise,0,may,0.01
Vehicle selection,0,may,0.37
Calendar apps,0,may,0.41
Financial simulation,0,may,0.1
Search query generation,0,may,0
Knowledge graphs,0,may,0
Subtitle translation,0,may,0
Engineering systems,0,may,0.06
Travel safety,0,may,0.03
Automata theory,0,may,0.01
Daily briefing,0,may,0.01
Geospatial mapping,0,may,0.01
Add-ins,0,may,0
Haircare,0,may,0.15
Job correspondence,0,may,0.39
Opinion writing,0,may,0.08
Reinforcement learning,0,may,0.02
Code comprehension,0,may,0.04
Display technology,0,may,0
Network security,0,may,0.01
Offline-first web,0,may,0
Customer Support & Service Operations,2,may,0.52
Banking,0,may,0.1
Destination research,1,may,1.06
Image annotation,0,may,0.01
Materials science,0,may,0.01
Contract review,0,may,0.25
Academic framing,0,may,0.04
Device feature configuration,0,may,0.15
Side income ideation,0,may,0.12
Inventory tracking,0,may,0.19
Fabrication,0,may,0.07
Test infrastructure,0,may,0.01
Crafting and construction,1,may,0.03
Quiz assistance,0,may,1.3
Type systems,0,may,0.01
Desktop GUI frameworks,0,may,0.1
Devops and infrastructure — other,1,may,0.07
Litigation,1,may,0.14
Wine,1,may,0.06
Alert routing,0,may,0.01
Customer milestone messaging,0,may,0
Print publishing,1,may,0.01
Optics,0,may,0.01
Strategy configuration,0,may,0.01
Runtime environment,0,may,0.03
Desserts,0,may,0.02
Literature review,0,may,0.47
Portfolio risk review,0,may,0.03
Threat detection,0,may,0.01
AI evaluation and risk,1,may,0.29
Readiness confirmation,0,may,0.03
Object identification,0,may,0.01
Crypto dashboards,0,may,0
Husbandry,0,may,0.13
Criminal law information,0,may,0.04
Alert routing,1,may,0.04
Kitchen equipment,0,may,0.09
Snacks and sides,0,may,0.03
Clarifying user intent,1,may,0.05
Customer issue resolution,0,may,0.45
Pull request lifecycle,0,may,0.02
Cinematography,0,may,0.01
Citations,0,may,0.03
Healthcare business,0,may,0.04
Business Process & Operations,2,may,6.26
Translation,1,may,0.2
Customer service QA,0,may,0.01
Plumbing fixtures,0,may,0.07
Answer explanation,0,may,0.35
Weight management,0,may,0.36
Appliance repair,0,may,0.12
Regulatory documents,0,may,0
JavaScript,0,may,0
Dietary supplements,0,may,0.11
Blockchain fundamentals,0,may,0
Historical figures,0,may,0.03
Banking history,1,may,0.05
Shipment tracking,0,may,0.06
Audio programming,0,may,0.01
CMS plugins,0,may,0.08
Network protocols,0,may,0
Cooking troubleshooting,0,may,0.05
Recruitment and HR Operations,0,may,0.61
Job applications,0,may,0.54
Accessibility setup,0,may,0
Home networking,0,may,0.05
Career navigation,1,may,0.59
Gift recommendations,0,may,0.08
Linear algebra,0,may,0.05
Deal analysis,0,may,0.05
Web front-end,1,may,2.21
Exegesis,0,may,0.03
Vehicles and motors,1,may,0.44
Medical Questions,1,may,2.32
Public budgets,0,may,0.02
Certification and training,1,may,0.58
Woodworking,0,may,0.04
Fact-checking,0,may,0.15
Maritime chokepoints,0,may,0.01
Software how-to,1,may,0.95
Business reports,0,may,0.24
SEO copywriting,0,may,0.26
Exam review,0,may,0.01
Financial modeling,1,may,1.1
Physical fit,0,may,0.05
Route planning,0,may,0.04
Finance content creation,0,may,0.06
Video production,0,may,0.12
App architecture,0,may,0.12
Summarizing,1,may,0.39
Military history,0,may,0.01
Product longevity,0,may,0.01
Wiring and circuits,0,may,0.03
IoT sensors,0,may,0.03
Airline policy,0,may,0.02
CRM,1,may,0.58
Online course platforms,0,may,0.02
Gaming,1,may,1.28
Software Development,2,may,8.13
Real estate marketing,0,may,0.12
Virtual environment navigation,0,may,0
Craft supplies,0,may,0.06
Landscape design,0,may,0.05
Filesystem operations,0,may,0.04
Dashboard data integrity,0,may,0.01
Sales & Revenue Operations,2,may,1.62
Script execution,0,may,0.08
Fanfiction,0,may,0.36
Shopping venues,0,may,0.01
Workforce training,0,may,0.06
Vegetarian mains,0,may,0.01
Software process,0,may,0.02
Beverage science,0,may,0.01
Recurring reminders,0,may,0.28
Animal behavior,0,may,0.05
Social science,1,may,0.28
Photo library management,0,may,0.01
History,0,may,0.04
Reading comprehension,0,may,0.02
Investment analyst scoring,0,may,0
Scheduling,0,may,0.16
Structural engineering,0,may,0.01
Influencer research,0,may,0.01
Historical documentation,0,may,0.09
Home comfort,0,may,0.02
Internal briefs,0,may,0.2
Image upscaling,0,may,0.01
Trading system diagnostics,0,may,0.02
Code behavior verification,0,may,0.01
Science and engineering,0,may,0.03
Destination selection,0,may,0.17
Cosmology,0,may,0.02
Fraud detection,0,may,0.05
Bicycle repair,0,may,0.03
Energy geopolitics,0,may,0.02
Resume writing,0,may,0.94
Government filings,1,may,0.06
Cooking techniques,0,may,0.09
Trade policy,0,may,0.01
Automated pipelines,1,may,1.06
Video scripts,1,may,0.69
E-commerce platforms,0,may,0.01
Gaming,0,may,0.08
File conversion,0,may,0.27
